sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target_name
5.57,3.01,4.89,1.96,virginica
7.12,3.11,6.23,2.17,virginica
6.46,3.20,4.86,1.69,virginica
8.15,3.94,6.75,2.20,virginica
7.51,3.24,6.19,2.08,virginica
7.69,3.20,6.28,2.15,virginica
6.78,3.11,5.32,2.16,virginica
7.46,3.06,6.56,1.65,virginica
6.52,2.59,5.89,1.74,virginica
6.40,3.58,5.07,2.26,virginica
7.67,3.26,5.96,2.41,virginica
6.66,2.72,5.64,1.97,virginica
7.24,2.88,5.87,1.77,virginica
7.30,3.04,5.65,2.31,virginica
7.85,4.11,6.76,1.89,virginica
7.11,3.25,5.58,2.54,virginica
6.91,3.42,5.74,2.65,virginica
6.74,3.05,5.56,2.01,virginica
7.65,3.70,6.76,2.36,virginica
6.33,2.73,5.91,2.00,virginica
6.20,3.12,5.11,2.04,virginica
6.34,3.07,5.10,2.00,virginica
6.94,2.97,5.50,2.32,virginica
6.64,2.93,4.88,2.03,virginica
8.21,3.05,6.48,2.34,virginica
7.27,3.07,6.18,2.33,virginica
5.50,3.01,5.38,1.92,virginica
6.77,2.71,5.14,2.09,virginica
7.75,3.49,6.65,2.38,virginica
7.96,2.77,6.12,2.22,virginica
7.77,3.27,6.20,1.93,virginica
6.59,3.51,6.12,2.41,virginica
7.28,3.22,6.52,2.00,virginica
6.91,3.07,5.00,1.99,virginica
6.79,3.32,5.13,2.18,virginica
7.14,3.20,6.22,2.32,virginica
6.86,2.77,5.63,1.87,virginica
6.72,3.55,5.70,2.45,virginica
6.77,3.45,5.58,2.32,virginica
6.56,2.77,5.15,1.85,virginica
6.95,3.34,5.75,2.12,virginica
6.24,2.65,5.89,2.16,virginica
6.39,2.59,4.85,1.92,virginica
6.65,3.28,5.69,2.56,virginica
6.43,2.98,5.17,1.60,virginica
6.07,2.74,4.91,1.89,virginica
6.62,3.17,5.68,2.27,virginica
6.99,2.97,5.52,2.27,virginica
6.75,2.79,4.63,1.94,virginica
6.38,3.30,6.15,2.39,virginica
6.94,3.59,6.06,2.39,virginica
6.75,3.50,5.56,2.60,virginica
6.41,3.08,5.46,1.89,virginica
8.09,2.98,6.22,2.24,virginica
7.43,2.83,6.46,1.76,virginica
7.01,3.35,5.43,2.38,virginica
6.03,2.80,5.35,1.85,virginica
6.14,2.70,5.50,2.06,virginica
6.40,3.19,5.63,2.23,virginica
7.06,3.21,4.88,2.36,virginica
7.56,2.84,7.07,2.36,virginica
6.42,2.87,5.05,1.99,virginica
6.76,3.14,5.50,2.19,virginica
7.85,2.94,5.88,2.35,virginica
6.44,2.18,5.50,1.65,virginica
7.59,2.90,6.25,2.19,virginica
6.58,2.85,5.83,1.97,virginica
6.30,3.23,5.38,1.73,virginica
8.07,3.03,6.97,2.12,virginica
6.53,3.42,6.40,2.20,virginica
6.61,3.25,5.86,2.21,virginica
5.45,2.59,5.02,2.07,virginica
5.87,2.92,5.13,1.84,virginica
6.72,3.06,5.27,2.25,virginica
7.01,3.12,5.51,2.06,virginica
6.92,2.83,5.58,1.81,virginica
5.68,3.00,5.08,1.91,virginica
6.77,3.15,5.34,2.29,virginica
7.10,3.13,5.76,2.29,virginica
5.78,2.98,4.79,2.09,virginica
6.91,3.43,6.43,2.40,virginica
8.22,2.74,6.68,2.21,virginica
7.15,2.89,6.05,2.13,virginica
6.20,2.63,5.41,2.39,virginica
5.90,2.83,5.24,2.08,virginica
6.72,2.87,6.26,2.08,virginica
7.57,3.63,6.95,2.42,virginica
8.25,3.40,6.15,2.33,virginica
6.32,3.24,6.26,2.44,virginica
6.41,3.48,5.85,2.57,virginica
7.63,3.06,6.88,2.33,virginica
7.28,3.12,6.57,1.92,virginica
6.48,3.18,5.33,2.03,virginica
6.09,2.67,4.93,1.70,virginica
6.31,2.38,5.28,1.92,virginica
5.59,2.70,4.82,2.03,virginica
7.54,3.21,5.87,2.52,virginica
7.74,2.67,6.04,2.03,virginica
6.64,3.21,5.28,1.91,virginica
5.92,3.07,5.21,2.11,virginica
6.86,3.36,6.03,2.54,virginica
6.24,3.03,5.44,1.70,virginica
7.11,3.20,5.45,2.07,virginica
6.82,3.28,5.44,2.46,virginica
6.22,2.75,6.12,2.13,virginica
6.09,2.73,5.33,2.09,virginica
6.66,2.97,5.78,2.10,virginica
7.10,3.56,5.91,2.61,virginica
6.26,2.81,4.83,1.77,virginica
6.94,3.26,5.34,2.15,virginica
7.05,2.99,6.56,1.76,virginica
7.11,2.90,6.07,1.68,virginica
7.77,3.17,6.04,2.16,virginica
6.64,2.84,5.69,1.97,virginica
6.89,3.27,5.82,2.08,virginica
7.76,2.77,6.51,2.02,virginica
6.70,3.26,5.64,2.54,virginica
7.52,3.03,6.63,1.93,virginica
7.02,2.88,5.57,2.25,virginica
6.11,2.98,5.17,1.97,virginica
6.50,2.96,5.47,1.73,virginica
5.87,2.99,5.40,2.45,virginica
6.37,3.04,5.67,2.04,virginica
6.95,3.38,6.27,1.81,virginica
5.93,2.99,5.07,1.91,virginica
6.09,2.84,5.40,2.03,virginica
7.21,3.72,6.58,2.31,virginica
6.17,3.12,4.86,1.84,virginica
7.15,3.49,5.41,2.54,virginica
6.22,3.27,5.44,2.15,virginica
7.11,2.83,6.16,1.72,virginica
